,name_product,price_product,link_product,marca,description_product,color_product,condicion,images
0,ZTE Blade L210 32 GB negro 1 GB RAM,269.100,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=zrqcoJ98ceEY%2B3ef3W37lVdURa3jLvzmlDWPlCWv%2BwCArEJcgiJn4my2fByyggnbN%2FH9K6MjVshhts%2FQmC0JdA%2F6a6W5BG1Dl8gdTWMsZGjEDGALXd5PGGuXdFSCFcWyKGhspg%2B5X%2BsCbREWacFs8AFdJit0hVWmmnt2tnt39u9CZ%2FjuPSGwKnwW03zn4hcLE34%2BTirYK8UPCuBnz1yHWGYY5mwI9xKNny0RpFwp2iYeUG%2Fe%2BuBEmYudm5hPBy3h1RyjFQmEdXpMyWEyLJRGogY8NhrfctB9vo9bk%2BuC34sVHc3qrmQ3Vwf8Lqf4PPO2EH7kGFSUSXeFCnOjpSXaTJ0PqfrM%2FAY0FL7D%2B4%2FRu9nkeJdPYLK7twNVQ26lf9uZFYVYCEhrdaDqCQP5uqErohq7rCAijjOn6huqPVhrtX8WkVsTqgXBW1EZWRJ9lA4nA%2FhQwQAoWqvLtIq09RrTGevUcPdumDtpGE1jLPoNfJQERpu9e4id%2BCetJ%2F19iT1oa1uxNK67usTbZvN9bS74LzWbhLS6RWcoW2VN4im8cDcES022Bk3vQTDLNgt3lP0jdyDX1NN8V1f2xiP%2FXZjBaoomhP2ld9qaNQ74ez15uSO2gAVUGkReUHHi8y%2BhyJolvwXtT2cByhmzzcgqEUpZ8gB61blwJ3rEfJFc1EKzkJ4fJQLNcNsY8JuhCL3lkYWPhtgj4jJzSOs7atE1bD5UvrH53MIjQxZyrpn2pIT%2F2riC5LLnbbkq7iIFTnqT6TBb8lR3X5xRl6w%3D&rb=x,ZTE,"Momentos unicos  capturas reales Captura tus mejores momentos y revivelos cuando quieras con la camara trasera de 8 Mpx   Ademas  el dispositivo cuenta con camara frontal de 5 Mpx para que puedas sacarte divertidas selfies o hacer videollamadas   Mas para ver Con su pantalla TFT de 6""  disfruta de colores intensos y mayor nitidez en todos tus contenidos   Todo lo que necesitas Su memoria RAM de 1 GB es justo lo que necesitas para utilizar las funciones mas importantes como llamar  enviar mensajes  navegar y ejecutar aplicaciones de uso frecuente como redes sociales o multimedia   Desbloqueo veloz con tu huella digital Con el sensor de huella digital  el acceso es seguro y podras desbloquearlo automaticamente con un toque   Bateria para todo el dia Su bateria de 2600 mAh se adapta a tu ritmo de vida y te garantiza energia para toda una jornada con una sola carga   El espacio que necesitas Con su memoria interna de 32 GB descarga tus aplicaciones favoritas y guarda todas las fotos y videos que quieras ",Negro,Nuevo,https://http2.mlstatic.com/D_NQ_NP_625108-MLA45046473963_032021-V.webp
1,Oppo A54 Dual SIM 128 GB azul 4 GB RAM,709.800,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=QrcN9zlrD1TVwEZtH6i%2FLBQ%2FvDloKEjDFhAG%2FP5zQSpA8dpVSE5ab80ZKe725XwNlkRb8dv9K6xdXQ8Czx4VsjT2gOFiAQ80eSDTcHCRpjoRxvzm6V%2BuPf%2B15srpT2b83Uo2ud6y%2BrZiH0p40oBTF5Lfgn%2Bwx5S41Kid67s2TLKZ3RZDtDlRL0ptv9IlwCquVH2SNoXlg2aUu%2FDG0wUuBkYW4Jn3XYs4ZR4jzjBfj%2B%2Fki%2FfJp0KX3hWmFxY58d1RoPydIoiGhfFizmpK71Ry8XgbmeOL%2FDpp72El4HYCKyc%2Bz1aZY2ME59FozLzYmBcgH7tXFVjwiiu%2Fk8%2B09lw0qQiPXE0qRbot9mLC0I49UAwtv4pVG0ZlFPdH1QUQklcK0I7ozIAWur%2BamNuqT2qfNkr8qRzH1VIQVt01sl5hDQDpf8kIVHVGD%2BvUmtK9elvn079t9ztf8REvSxygaf51efNGHx2Pl8BDpyVq5rLYRx5kId0l%2FMMeuxiBjfIpADWQ53q5BTg87zBbPITEoS8TR%2BmindBWGZomPjaMhXvs99tUJpdCrWqTJAWOvIFwLignepXkIzphYZfgxUanhaO3pUpVxdRrxF3AIQyhTVLKbrlOKrnMqaAU9yps4ovCOJMbtPJn5rLZVEF0La%2BLj2UmhY8J0IOjNWDLnPJaoPy%2F1NHKNJrtf8osZV0ukBYZE779AjRMwq8YOacl6a5YzxyCfAcqh2gXOXqxnFwIdPEaP0fXzrs0mjFP6Ao6A64fJZtQHe3e2NjvyEQQJX%2BDUi0%3D&rb=x,Oppo,Fotografia profesional en tu bolsillo Descubre infinitas posibilidades para tus fotos con las 3 camaras principales de tu equipo  Pon a prueba tu creatividad y juega con la iluminacion  diferentes planos y efectos para obtener grandes resultados   Ademas  el dispositivo cuenta con camara frontal de 16 Mpx para que puedas sacarte divertidas selfies o hacer videollamadas   Mayor rendimiento Su memoria RAM de 4 GB permite que tu smartphone funcione de manera fluida y sin demoras al realizar distintas tareas  jugar o navegar   Desbloqueo facial y dactilar Maxima seguridad para que solo tu puedas acceder al equipo  Podras elegir entre el sensor de huella dactilar para habilitar el telefono en un toque  o el reconocimiento facial que permite un desbloqueo hasta un 30% mas rapido   Bateria de duracion superior ¡Desenchufate! Con la super bateria de 5000 mAh tendras energia por mucho mas tiempo para jugar  ver series o trabajar sin necesidad de realizar recargas ,Azul,Nuevo,https://http2.mlstatic.com/D_NQ_NP_671058-MLA48341053588_112021-V.webp
2,Xiaomi Redmi Note 11S Dual SIM 128 GB azul ocaso 6 GB RAM,910.000,https://www.mercadolibre.com.co/xiaomi-redmi-note-11s-dual-sim-128-gb-azul-ocaso-6-gb-ram/p/MCO18983369?pdp_filters=category:MCO1055#searchVariation=MCO18983369&position=3&search_layout=stack&type=product&tracking_id=3b4075cd-7a05-45ae-b41b-3f293a70d643,Xiaomi,"Fotografia profesional en tu bolsillo Descubre infinitas posibilidades para tus fotos con las 4 camaras principales de tu equipo  Pon a prueba tu creatividad y juega con la iluminacion  diferentes planos y efectos para obtener grandes resultados   Experiencia visual increible Mira tus series y peliculas favoritas con la mejor definicion a traves de su pantalla AMOLED de 6 43""  Disfruta de colores brillantes y detalles precisos en todos tus contenidos   Capacidad y eficiencia Con su potente procesador y memoria RAM de 6 GB tu equipo alcanzara un alto rendimiento con gran velocidad de transmision de contenidos y ejecutara multiples aplicaciones a la vez sin demoras   Desbloqueo facial y dactilar Maxima seguridad para que solo tu puedas acceder al equipo  Podras elegir entre el sensor de huella dactilar para habilitar el telefono en un toque  o el reconocimiento facial que permite un desbloqueo hasta un 30% mas rapido   Bateria de duracion superior ¡Desenchufate! Con la super bateria de 5000 mAh tendras energia por mucho mas tiempo para jugar  ver series o trabajar sin necesidad de realizar recargas ",Azul ocaso,Nuevo,https://http2.mlstatic.com/D_NQ_NP_762097-MLA52142823751_102022-V.webp
3,Xiaomi Redmi Note 11 (Snapdragon) Dual SIM 128 GB gris grafito 4 GB RAM,779.900,https://www.mercadolibre.com.co/xiaomi-redmi-note-11-snapdragon-dual-sim-128-gb-gris-grafito-4-gb-ram/p/MCO18924350?pdp_filters=category:MCO1055#searchVariation=MCO18924350&position=4&search_layout=stack&type=product&tracking_id=3b4075cd-7a05-45ae-b41b-3f293a70d643,Xiaomi,"Fotografia profesional en tu bolsillo Descubre infinitas posibilidades para tus fotos con las 4 camaras principales de tu equipo  Pon a prueba tu creatividad y juega con la iluminacion  diferentes planos y efectos para obtener grandes resultados   Experiencia visual increible Mira tus series y peliculas favoritas con la mejor definicion a traves de su pantalla AMOLED de 6 43""  Disfruta de colores brillantes y detalles precisos en todos tus contenidos   Mayor rendimiento Su memoria RAM de 4 GB permite que tu smartphone funcione de manera fluida y sin demoras al realizar distintas tareas  jugar o navegar   Desbloqueo facial y dactilar Maxima seguridad para que solo tu puedas acceder al equipo  Podras elegir entre el sensor de huella dactilar para habilitar el telefono en un toque  o el reconocimiento facial que permite un desbloqueo hasta un 30% mas rapido   Bateria de duracion superior ¡Desenchufate! Con la super bateria de 5000 mAh tendras energia por mucho mas tiempo para jugar  ver series o trabajar sin necesidad de realizar recargas ",Gris grafito,Nuevo,https://http2.mlstatic.com/D_NQ_NP_805485-MLA52140683184_102022-V.webp
4,Apple iPhone 13 (128 GB) - Azul medianoche,3.729.900,https://www.mercadolibre.com.co/apple-iphone-13-128-gb-azul-medianoche/p/MCO18500844?pdp_filters=category:MCO1055#searchVariation=MCO18500844&position=5&search_layout=stack&type=product&tracking_id=3b4075cd-7a05-45ae-b41b-3f293a70d643,Apple,iPhone 13  El sistema de dos camaras mas avanzado en un iPhone  El superrapido chip A15 Bionic  Un gran salto en duracion de bateria  Un diseno resistente  Y una pantalla Super Retina XDR mas brillante   Avisos Legales 1La pantalla tiene esquinas redondeadas que siguen el elegante diseno curvo del telefono  y las esquinas se encuentran dentro de un rectangulo estandar  Si se mide en forma de rectangulo estandar  la pantalla tiene 6 06 pulgadas en diagonal  El area real de visualizacion es menor  2La duracion de la bateria varia segun el uso y la configuracion  Para obtener mas informacion  visita apple com/mx/batteries  3El iPhone 13 es resistente a los derrames  a las salpicaduras y al polvo  y fue probado en condiciones de laboratorio controladas  con una clasificacion IP68 segun la norma IEC 60529  La resistencia a los derrames  a las salpicaduras y al polvo no es una condicion permanente  y podria disminuir como consecuencia del uso normal  No intentes cargar un iPhone mojado; consulta el manual del usuario para ver las instrucciones de limpieza y secado  La garantia no cubre danos producidos por liquidos  4Algunas funcionalidades podrian no estar disponibles en todos los paises o areas  5Los accesorios se venden por separado ,Azul medianoche,Nuevo,https://http2.mlstatic.com/D_NQ_NP_973345-MLA47781591382_102021-V.webp
5,Samsung Galaxy A32 Dual SIM 128 GB awesome black 4 GB RAM,1.079.900,https://www.mercadolibre.com.co/samsung-galaxy-a32-dual-sim-128-gb-awesome-black-4-gb-ram/p/MCO17465171?pdp_filters=category:MCO1055#searchVariation=MCO17465171&position=6&search_layout=stack&type=product&tracking_id=3b4075cd-7a05-45ae-b41b-3f293a70d643,Samsung,"Fotografia profesional en tu bolsillo Descubre infinitas posibilidades para tus fotos con las 4 camaras principales de tu equipo  Pon a prueba tu creatividad y juega con la iluminacion  diferentes planos y efectos para obtener grandes resultados   Experiencia visual increible Mira tus series y peliculas favoritas con la mejor definicion a traves de su pantalla Super AMOLED de 6 4""  Disfruta de colores brillantes y detalles precisos en todos tus contenidos   Mayor rendimiento Su memoria RAM de 4 GB permite que tu smartphone funcione de manera fluida y sin demoras al realizar distintas tareas  jugar o navegar   Desbloqueo facial y dactilar Maxima seguridad para que solo tu puedas acceder al equipo  Podras elegir entre el sensor de huella dactilar para habilitar el telefono en un toque  o el reconocimiento facial que permite un desbloqueo hasta un 30% mas rapido   Bateria de duracion superior ¡Desenchufate! Con la super bateria de 5000 mAh tendras energia por mucho mas tiempo para jugar  ver series o trabajar sin necesidad de realizar recargas ",Awesome black,Nuevo,https://http2.mlstatic.com/D_NQ_NP_613283-MLA48158357820_112021-V.webp
6,Nokia 105 4G 128 MB negro 48 MB RAM,109.900,https://www.mercadolibre.com.co/nokia-105-4g-128-mb-negro-48-mb-ram/p/MCO18927423?pdp_filters=category:MCO1055#searchVariation=MCO18927423&position=7&search_layout=stack&type=product&tracking_id=3b4075cd-7a05-45ae-b41b-3f293a70d643,Nokia,Si buscas un dispositivo que te permita estar en contacto siempre  este telefono 105 4G es una opcion excelente  Podras comunicarte de manera inmediata con amigas y amigos  o con las personas de tu familia  Y ademas  si estas trabajando  lograras una mayor colaboracion con tu equipo   Entretenimiento que te acompana Con tu 105 4G podras sintonizar radio  mantenerte al tanto de las ultimas noticias y escuchar tus programas favoritos ,Negro,Nuevo,https://http2.mlstatic.com/D_NQ_NP_752332-MLA52140990343_102022-V.webp
7,Xiaomi Pocophone Poco X4 Pro 5G Dual SIM 256 GB poco yellow 8 GB RAM,1.439.900,https://www.mercadolibre.com.co/xiaomi-pocophone-poco-x4-pro-5g-dual-sim-256-gb-poco-yellow-8-gb-ram/p/MCO18968543?pdp_filters=category:MCO1055#searchVariation=MCO18968543&position=8&search_layout=stack&type=product&tracking_id=3b4075cd-7a05-45ae-b41b-3f293a70d643,Xiaomi,"Fotografia profesional en tu bolsillo Descubre infinitas posibilidades para tus fotos con las 3 camaras principales de tu equipo  Pon a prueba tu creatividad y juega con la iluminacion  diferentes planos y efectos para obtener grandes resultados   Ademas  el dispositivo cuenta con camara frontal de 16 Mpx para que puedas sacarte divertidas selfies o hacer videollamadas   Experiencia visual increible Mira tus series y peliculas favoritas con la mejor definicion a traves de su pantalla AMOLED de 6 67""  Disfruta de colores brillantes y detalles precisos en todos tus contenidos   Capacidad y eficiencia Con su potente procesador y memoria RAM de 8 GB tu equipo alcanzara un alto rendimiento con gran velocidad de transmision de contenidos y ejecutara multiples aplicaciones a la vez sin demoras   Desbloqueo facial y dactilar Maxima seguridad para que solo tu puedas acceder al equipo  Podras elegir entre el sensor de huella dactilar para habilitar el telefono en un toque  o el reconocimiento facial que permite un desbloqueo hasta un 30% mas rapido   Bateria de duracion superior ¡Desenchufate! Con la super bateria de 5000 mAh tendras energia por mucho mas tiempo para jugar  ver series o trabajar sin necesidad de realizar recargas ",Poco yellow,Nuevo,https://http2.mlstatic.com/D_NQ_NP_778061-MLA52131765084_102022-V.webp
8,Celular Hyundai L604 4g Lte Pantalla De 6 Pulgadas Económico,288.000,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=9xdveL4OT5GzSO3S%2BAHzMBxuOWFxk4GOxxXN%2F0n7IKCCBjCDPuP8yIfk4SZVhviTyQLkdSr05mMkqsmxOWaqdSWUCQTgIOM3keLvYW626EAPEWXC7HjVRr71ZkB456F7olZJAKfTkqdZ8bpRLXUDatyQ2%2F%2BdgO4iH2dcXcCzMwnxgt%2BSthcVTJr5PZvo%2FfRZXHvYxYnWK1ZYSxd1IfU0EvsoKhWCpysIOsAX%2F3NQULIu%2FPGPtQTF85%2Btxgzx6rqtarugvPXSdLfwew6EMWRuW2P1Fxk%2FRtN2S%2Bvx4hDFKknFPt1aIfGecZDDCbAJ%2Byu4V5x64hGHBI0jUqC7dd%2BfPQnPw%2FTjO4CApKCkzcficKcmlcfS6L1vfWj%2FVzzbWTE1I6VNUwibER4qQ27D8Kt1Al0ZapEaz95tylp5z0%2BTR3%2FY7GQFtO8wajoINi4SB%2BAkaMA%2FsagFivhENwPvcvkgtJJTcysJj7LHJcu0VXNpQ1LBi6T9l5uO3NFJ04kmnQKTejbg92OgHVv3d6Ym%2FU6IMFjH1H4dVia%2BMUH5VUhgc0uqs9Gm1ibYo8rPZjgw7JJanfVBapCK10HzX7CgdmAMH56hkErz2wdDnIRUWmXRTH%2FxBRzXwjih%2BuQTay1oxRoIKmjnoT8LAo3TnsV686g%2FntL93aO5YrysZ3c3uQ4O%2B9T6YdmHBoSQVXmu0enQQlCCRoAugW5173Pqfg%3D%3D&rb=x,Celular,"HYUNDAI E506 rapido liviano pantalla amplia   pantalla LCD 5 00"" SISTEMA OPERATIVO ANDROID GO Resolucion 480×854 pixeles Sistema Android R  edicion Go Chipset Unisoc Spreadtrum SC7731E 28nm CPU Quad-core (4×1 3 GHz Cortex-A7) GPU ARM Mali-T820 microSDXC Memoria 16GB  1GB RAM Camara principal 5MP DUAL SIM Sensores: acelerometro  sensor G      GARANTIA   • Tenemos 12 meses de garantia • 24 horas de servicio al cliente • ATENCION PREMIUM POS-VENTA • Soporte de garantia facil Y rapido sin coste adicional • resolvemos tus dudas en un periodo de 24 horas",Azul,Nuevo,https://http2.mlstatic.com/D_NQ_NP_631582-MCO54746000330_032023-V.webp
9,Celular Hyundai E506 Economico Dual Sim 3g Pantalla 5 0,250.000,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=Qeh%2BqNWDfG5BuCLcmZeG6iqfSgxJmXyHqDsyyXa9Sjt794ELMeoeX99OVYlmEyMZEYBOF8ExL%2BCIXrpg6frDsoV1mt%2FBUNsEFC0eISyOdOK%2BsjatZKjVQUqaEXlRGM106IotuhaVny888jJ1YAGCPrYOp%2BV%2FB%2Fjj34ZnYAvqAv7RN8p6lx39b7m7fmWeJM685ZRobOkNappzQ18CKQxm2e5XZin72sv9StCewUhTIOq0SVM4p3Uq2mo%2BOnxTl8zoUBNAsmxNBTE99krF91ZQd0AB2TQOlBx3WYPKtLoUhiQJ%2B1OaxO7t%2F5lI31eZaS06hnL0nd0u915ubEvHKcps4Sv7FwCtpox8%2F87bhYcm6zybYPv7WNa3n339k18hX8wSBYqszFM%2BVz9xvWhkcqL39qKjODF2aM8eVS3DkhQ89naw4HMs%2F3Kg0nZb58ebgGVStsfS7egPJpS8%2BpzUYrwVeuHfuHIkUfCEZOrq8MsNy7%2F5Y49p2sU9bUWj%2FY32pfug8EkdeWZAglbr%2B1774okAoqhfpTZ3X6i8MY62R6877SihZ2nHXZJ1%2FdZ2HMn1lsLjeIwOXufsWYaWxbIZKieeCiwQoU6qc2ktypGIUufjTcY0dTREhKkcIoddN3FO26RTR2wcN%2BgLwH2fllWVyS%2FwlwGc1gYLWsl5yUas59iLnA6noQ1Wg1GD3ORAoW3fMr0TCjQU1vYi4FDjzJ3ygrg%3D&rb=x,Celular,"CELULAR HYUNDA L604 4G LTE Pantalla de 6 Pulgadas • Hyundai Mobile reinventa los conceptos de comunicacion movil a traves de su dedicacion y atencion a cada detalle  Cada dispositivo refleja nuestra filosofia de innovacion  historia y valores   • Lo mas importante del HYUNDAI L604 es su navegacion 4G LTE  La mas rapida del mercado  lo cual te permitira disfrutar de todo el contenido multimedia de la red con mayor velocidad y fluidez  pudiendo operar en redes sociales con la velocidad de un dispositivo gama alta    • incluye tambien un forro transparente anti golpe  para que lo mantengas siempre protegido  y con su protector de pantalla para evitar aranazos y rayones  ESPECIFICACIONES TECNICAS  • Banda 4G LTE • Pantalla: 6"" IPS • Memoria RAM: 1 GB  • Memoria ROM: 16 GB  • Camara Principal: 8 MP  AF  con flash  • Camara Selfie Imagen: 5 MP con flash  • Procesador: Quad Core 1 5 GHz  • Dual sim • Sistema Operativo: ANDROID 10(GO EDITION)  • Wifi • GPS • Bluetooth • Radio FM • Puertos: Micro USB • Bateria: LI-ION 2900 mAh  • HOTSPOT: para compartir intenert • LUZ NOCTURNA: para preparar el cuerpo para dormir • MODO OSCURO: para cuidar la vista de la luz blanca   INCLUYE EN LA CAJA  • Equipo • Cargador • Cable USB • Audifonos (manos libres) • Manual • Forro (funda protectora transparente original del equipo) • Protector de pantalla (preinstalado) • se envia con su factura para su posterior registro  GARANTIA  • Tenemos 12 meses de garantia • 24 horas de servicio al cliente • ATENCION PREMIUN POSVENTA • Soporte de garantia facil Y rapido sin coste adicional • resolvemos tus dudas en un periodo de 24 horas",Negro,Nuevo,https://http2.mlstatic.com/D_NQ_NP_790799-MCO50120466452_052022-V.webp
